vessel_name,imo_number,berth_id,start_time,end_time,status
NORTHERN GUARD,9348455,B07,2026-08-30T03:30:00+00:00,2026-08-30T13:17:39.892823+00:00,confirmed
MEHUIN,9400100,B70,2026-08-30T04:45:00+00:00,2026-08-30T11:34:02.189359+00:00,confirmed
BINA MARINE 78,0,B14,2026-08-30T06:28:00+00:00,2026-08-30T11:19:17.096738+00:00,confirmed
GASCHEM WERRA,9560170,B67,2026-08-30T11:11:00+00:00,2026-08-30T23:01:22.955724+00:00,confirmed
ORKIM DIAMOND,9900253,B75,2026-08-30T11:11:00+00:00,2026-08-30T21:16:46.400832+00:00,confirmed
SHOSHUN,9773155,B43,2026-08-30T11:11:00+00:00,2026-08-30T22:49:22.539725+00:00,confirmed
FRONT TANA,9933640,B15,2026-08-30T11:11:00+00:00,2026-08-30T19:04:52.305958+00:00,confirmed
MAJU DAYA 19,9571856,B29,2026-08-30T12:45:00+00:00,2026-08-30T18:51:02.260759+00:00,confirmed
MARCOPOLO 910,0,B46,2026-08-30T12:45:00+00:00,2026-08-30T17:55:49.496224+00:00,confirmed
PACIFIC WISE,1096197,B38,2026-08-30T13:54:00+00:00,2026-08-30T23:51:20.476545+00:00,confirmed
MARAN GAS KASTELORIZO,9956408,B69,2026-08-30T14:00:00+00:00,2026-08-30T22:05:55.997609+00:00,confirmed
KESHKAY 2,0,B72,2026-08-30T14:07:00+00:00,2026-08-30T20:19:07.440482+00:00,confirmed
ASEAN RAIDER II,9149639,B57,2026-08-30T14:34:00+00:00,2026-08-30T23:10:38.111055+00:00,confirmed
SEAGULL,9828235,B27,2026-08-30T15:00:00+00:00,2026-08-31T01:21:02.836679+00:00,confirmed
NORA SCHULTE,9966300,B45,2026-08-30T15:00:00+00:00,2026-08-31T01:32:00.996576+00:00,confirmed
ARA ONE,0,B35,2026-08-30T15:00:02+00:00,2026-08-31T00:30:26.306158+00:00,confirmed
SG GENEROUS,9999966,B76,2026-08-30T15:08:00+00:00,2026-08-30T23:15:38.895513+00:00,confirmed
HORIZON 8,9732125,B19,2026-08-30T15:21:00+00:00,2026-08-31T00:05:10.992828+00:00,confirmed
MAJESTIC ETERNITY,1114640,B68,2026-08-30T15:21:00+00:00,2026-08-31T03:12:25.845734+00:00,confirmed
MAJESTIC SERENITY,1119418,B21,2026-08-30T15:24:00+00:00,2026-08-30T21:53:15.885785+00:00,confirmed
KOTA GAYA,9616802,B22,2026-08-30T15:30:00+00:00,2026-08-30T22:30:52.294569+00:00,confirmed
ARMONIA GR,9758868,B14,2026-08-30T15:30:00+00:00,2026-08-31T01:05:18.373670+00:00,confirmed
SEA RAIDER II,8623858,B33,2026-08-30T15:32:00+00:00,2026-08-31T01:24:29.833471+00:00,confirmed
QUEEN STAR 6,9797113,B17,2026-08-30T15:36:00+00:00,2026-08-31T01:29:16.758276+00:00,confirmed
BATAMFAST 19,9103946,B41,2026-08-30T15:40:00+00:00,2026-08-30T22:16:52.018166+00:00,confirmed
RAFFLES SAMURAI,9352250,B23,2026-08-30T16:00:00+00:00,2026-08-31T02:59:21.967060+00:00,confirmed
FLAG THENIA,9605487,B04,2026-08-30T16:00:00+00:00,2026-08-31T01:02:23.134309+00:00,confirmed
MTT LUMUT,9988499,B36,2026-08-30T16:00:00+00:00,2026-08-31T03:42:33.567233+00:00,confirmed
COSCO SAO PAULO,9484388,B06,2026-08-30T16:30:00+00:00,2026-08-31T01:05:43.217621+00:00,confirmed
FPMC 30,9581679,B07,2026-08-30T16:45:00+00:00,2026-08-31T02:14:48.929647+00:00,confirmed
XIN HAI,9406477,B18,2026-08-30T17:00:00+00:00,2026-08-30T22:25:13.158174+00:00,confirmed
NEW SUCCESS,9434632,B40,2026-08-30T17:00:00+00:00,2026-08-31T00:33:34.667632+00:00,confirmed
SEVILLIA,9362712,B39,2026-08-30T17:00:00+00:00,2026-08-31T03:37:28.018893+00:00,confirmed
MAJU DAYA 67,9770529,B60,2026-08-30T17:00:00+00:00,2026-08-31T04:04:32.756866+00:00,confirmed
ZHONG GU GUI YANG,9933872,B56,2026-08-30T17:00:00+00:00,2026-08-30T23:35:50.229828+00:00,confirmed
VISION 208,5630842,B54,2026-08-30T17:00:00+00:00,2026-08-31T00:54:57.849876+00:00,confirmed
RIKKA,1105792,B62,2026-08-30T17:00:00+00:00,2026-08-31T03:23:30.981044+00:00,confirmed
OASIS,1079199,B11,2026-08-30T17:00:00+00:00,2026-08-31T01:37:37.241044+00:00,confirmed
SPIL NINGSIH,9273959,B73,2026-08-30T17:30:00+00:00,2026-08-30T21:37:29.775852+00:00,confirmed
MINERVA KALYPSO,9785225,B65,2026-08-30T17:30:00+00:00,2026-08-30T23:51:14.176277+00:00,confirmed
STOLT VIRTUE,9274317,B70,2026-08-30T17:45:00+00:00,2026-08-30T22:38:42.655427+00:00,confirmed
POLYWORLD,9626584,B52,2026-08-30T17:45:00+00:00,2026-08-30T22:43:44.512084+00:00,confirmed
SRIWANGI II,9313096,B48,2026-08-30T18:00:00+00:00,2026-08-31T05:43:36.518302+00:00,confirmed
FLY GURNARD,9123881,B64,2026-08-30T18:00:00+00:00,2026-08-31T00:59:59.835852+00:00,confirmed
LOTUS LEADER,9202883,B01,2026-08-30T18:00:00+00:00,2026-08-31T03:58:12.949658+00:00,confirmed
MARIT MAERSK,9632167,B31,2026-08-30T18:00:00+00:00,2026-08-30T23:50:49.517863+00:00,confirmed
SHENG SHA 12,1050014,B26,2026-08-30T18:00:00+00:00,2026-08-31T00:00:53.209625+00:00,confirmed
OCEAN SUNRISE,9292357,B47,2026-08-30T18:15:00+00:00,2026-08-31T01:35:54.823100+00:00,confirmed
NAVIOS ANTARES,9481257,B16,2026-08-30T18:15:00+00:00,2026-08-31T05:01:04.396489+00:00,confirmed
FPMC C NOBLE,9419955,B13,2026-08-30T18:30:00+00:00,2026-08-30T23:10:43.503066+00:00,confirmed
TSL LUSAHA,9712462,B44,2026-08-30T18:30:00+00:00,2026-08-31T02:43:23.211243+00:00,confirmed
DOLPHIN 77,9279381,B02,2026-08-30T18:45:00+00:00,2026-08-31T01:07:38.472828+00:00,confirmed
WAN SENDARI,9503718,B55,2026-08-30T18:45:00+00:00,2026-08-30T23:59:47.804368+00:00,confirmed
HTK SYMPHONY,9668271,B53,2026-08-30T18:45:00+00:00,2026-08-31T01:38:45.924338+00:00,confirmed
SINAR BINTAN,9250957,B25,2026-08-30T19:00:00+00:00,2026-08-31T04:31:21.362050+00:00,confirmed
D ANGELS,9252357,B12,2026-08-30T19:00:00+00:00,2026-08-31T06:37:28.991157+00:00,confirmed
PARAMITA,9162112,B51,2026-08-30T19:00:00+00:00,2026-08-31T05:02:45.061935+00:00,confirmed
GLOBAL THEMIS,9810850,B63,2026-08-30T19:00:00+00:00,2026-08-31T03:43:13.564022+00:00,confirmed
