vessel_name,imo_number,pilot_id,start_time,end_time,status
NORTHERN GUARD,9348455,P10,2026-08-30T02:10:50.308486+00:00,2026-08-30T03:30:00+00:00,confirmed
MEHUIN,9400100,P15,2026-08-30T04:13:15.500223+00:00,2026-08-30T04:45:00+00:00,confirmed
BINA MARINE 78,0,P06,2026-08-30T04:45:32.138476+00:00,2026-08-30T06:28:00+00:00,confirmed
ORKIM DIAMOND,9900253,P05,2026-08-30T09:14:21.088205+00:00,2026-08-30T11:11:00+00:00,confirmed
FRONT TANA,9933640,P02,2026-08-30T09:24:45.119733+00:00,2026-08-30T11:11:00+00:00,confirmed
SHOSHUN,9773155,P09,2026-08-30T09:51:24.971038+00:00,2026-08-30T11:11:00+00:00,confirmed
GASCHEM WERRA,9560170,P12,2026-08-30T10:39:25.221882+00:00,2026-08-30T11:11:00+00:00,confirmed
MAJU DAYA 19,9571856,P09,2026-08-30T11:16:31.669506+00:00,2026-08-30T12:45:00+00:00,confirmed
MARCOPOLO 910,0,P12,2026-08-30T11:51:49.090435+00:00,2026-08-30T12:45:00+00:00,confirmed
MARAN GAS KASTELORIZO,9956408,P03,2026-08-30T12:43:00.744746+00:00,2026-08-30T14:00:00+00:00,confirmed
KESHKAY 2,0,P01,2026-08-30T12:50:36.380183+00:00,2026-08-30T14:07:00+00:00,confirmed
PACIFIC WISE,1096197,P04,2026-08-30T12:53:16.528218+00:00,2026-08-30T13:54:00+00:00,confirmed
NORA SCHULTE,9966300,P11,2026-08-30T13:24:49.776590+00:00,2026-08-30T15:00:00+00:00,confirmed
SG GENEROUS,9999966,P18,2026-08-30T13:25:01.143922+00:00,2026-08-30T15:08:00+00:00,confirmed
MAJESTIC SERENITY,1119418,P08,2026-08-30T13:34:47.516402+00:00,2026-08-30T15:24:00+00:00,confirmed
ASEAN RAIDER II,9149639,P15,2026-08-30T13:35:08.518615+00:00,2026-08-30T14:34:00+00:00,confirmed
SEAGULL,9828235,P14,2026-08-30T13:41:46.478935+00:00,2026-08-30T15:00:00+00:00,confirmed
ARMONIA GR,9758868,P05,2026-08-30T13:49:30.449022+00:00,2026-08-30T15:30:00+00:00,confirmed
BATAMFAST 19,9103946,P09,2026-08-30T14:05:09.915983+00:00,2026-08-30T15:40:00+00:00,confirmed
FLAG THENIA,9605487,P13,2026-08-30T14:15:27.021652+00:00,2026-08-30T16:00:00+00:00,confirmed
MTT LUMUT,9988499,P02,2026-08-30T14:17:10.894070+00:00,2026-08-30T16:00:00+00:00,confirmed
KOTA GAYA,9616802,P04,2026-08-30T14:23:43.824442+00:00,2026-08-30T15:30:00+00:00,confirmed
ARA ONE,0,P06,2026-08-30T14:25:00.302333+00:00,2026-08-30T15:00:02+00:00,confirmed
MAJESTIC ETERNITY,1114640,P01,2026-08-30T14:26:07.823310+00:00,2026-08-30T15:21:00+00:00,confirmed
HORIZON 8,9732125,P10,2026-08-30T14:28:32.195910+00:00,2026-08-30T15:21:00+00:00,confirmed
QUEEN STAR 6,9797113,P07,2026-08-30T14:38:40.186831+00:00,2026-08-30T15:36:00+00:00,confirmed
SEA RAIDER II,8623858,P12,2026-08-30T14:45:53.762831+00:00,2026-08-30T15:32:00+00:00,confirmed
ZHONG GU GUI YANG,9933872,P16,2026-08-30T15:04:22.723063+00:00,2026-08-30T17:00:00+00:00,confirmed
RAFFLES SAMURAI,9352250,P11,2026-08-30T15:08:30.924315+00:00,2026-08-30T16:00:00+00:00,confirmed
SEVILLIA,9362712,P14,2026-08-30T15:14:54.274601+00:00,2026-08-30T17:00:00+00:00,confirmed
RIKKA,1105792,P06,2026-08-30T15:15:12.722976+00:00,2026-08-30T17:00:00+00:00,confirmed
NEW SUCCESS,9434632,P17,2026-08-30T15:20:46.165572+00:00,2026-08-30T17:00:00+00:00,confirmed
FPMC 30,9581679,P10,2026-08-30T15:23:06.190002+00:00,2026-08-30T16:45:00+00:00,confirmed
COSCO SAO PAULO,9484388,P03,2026-08-30T15:25:33.611766+00:00,2026-08-30T16:30:00+00:00,confirmed
XIN HAI,9406477,P05,2026-08-30T15:46:01.464363+00:00,2026-08-30T17:00:00+00:00,confirmed
MINERVA KALYPSO,9785225,P04,2026-08-30T16:02:30.466128+00:00,2026-08-30T17:30:00+00:00,confirmed
MAJU DAYA 67,9770529,P13,2026-08-30T16:03:07.328219+00:00,2026-08-30T17:00:00+00:00,confirmed
SRIWANGI II,9313096,P12,2026-08-30T16:09:09.433204+00:00,2026-08-30T18:00:00+00:00,confirmed
SHENG SHA 12,1050014,P11,2026-08-30T16:10:59.604199+00:00,2026-08-30T18:00:00+00:00,confirmed
STOLT VIRTUE,9274317,P09,2026-08-30T16:12:29.536834+00:00,2026-08-30T17:45:00+00:00,confirmed
POLYWORLD,9626584,P15,2026-08-30T16:16:40.797490+00:00,2026-08-30T17:45:00+00:00,confirmed
VISION 208,5630842,P01,2026-08-30T16:17:49.072455+00:00,2026-08-30T17:00:00+00:00,confirmed
OASIS,1079199,P02,2026-08-30T16:22:03.625865+00:00,2026-08-30T17:00:00+00:00,confirmed
SPIL NINGSIH,9273959,P08,2026-08-30T16:23:57.266881+00:00,2026-08-30T17:30:00+00:00,confirmed
LOTUS LEADER,9202883,P18,2026-08-30T16:26:21.876927+00:00,2026-08-30T18:00:00+00:00,confirmed
DOLPHIN 77,9279381,P03,2026-08-30T16:58:12.652332+00:00,2026-08-30T18:45:00+00:00,confirmed
FLY GURNARD,9123881,P07,2026-08-30T16:59:33.976561+00:00,2026-08-30T18:00:00+00:00,confirmed
TSL LUSAHA,9712462,P14,2026-08-30T17:05:08.896724+00:00,2026-08-30T18:30:00+00:00,confirmed
OCEAN SUNRISE,9292357,P06,2026-08-30T17:08:03.593543+00:00,2026-08-30T18:15:00+00:00,confirmed
GLOBAL THEMIS,9810850,P10,2026-08-30T17:13:15.282343+00:00,2026-08-30T19:00:00+00:00,confirmed
D ANGELS,9252357,P16,2026-08-30T17:16:30.914144+00:00,2026-08-30T19:00:00+00:00,confirmed
MARIT MAERSK,9632167,P02,2026-08-30T17:18:54.467966+00:00,2026-08-30T18:00:00+00:00,confirmed
FPMC C NOBLE,9419955,P05,2026-08-30T17:34:19.551166+00:00,2026-08-30T18:30:00+00:00,confirmed
SINAR BINTAN,9250957,P01,2026-08-30T17:40:01.583430+00:00,2026-08-30T19:00:00+00:00,confirmed
NAVIOS ANTARES,9481257,P04,2026-08-30T17:43:35.130651+00:00,2026-08-30T18:15:00+00:00,confirmed
NYK VENUS,9312793,P17,2026-08-30T17:45:11.447277+00:00,2026-08-30T19:30:00+00:00,confirmed
WAN SENDARI,9503718,P13,2026-08-30T17:54:17.410951+00:00,2026-08-30T18:45:00+00:00,confirmed
HTK SYMPHONY,9668271,P11,2026-08-30T18:11:17.751229+00:00,2026-08-30T18:45:00+00:00,confirmed
PARAMITA,9162112,P02,2026-08-30T18:12:29.465600+00:00,2026-08-30T19:00:00+00:00,confirmed
MAGPIE SW,9692739,P04,2026-08-30T18:17:48.403962+00:00,2026-08-30T20:00:00+00:00,confirmed
HANNES OLDENDORFF,9750402,P07,2026-08-30T18:20:57.948986+00:00,2026-08-30T19:45:00+00:00,confirmed
NORD PHINDA,9700940,P08,2026-08-30T18:27:35.784807+00:00,2026-08-30T19:15:00+00:00,confirmed
EDEN,9471185,P05,2026-08-30T18:34:17.909943+00:00,2026-08-30T20:00:00+00:00,confirmed
ALEGRIA,9169392,P09,2026-08-30T18:38:48.572208+00:00,2026-08-30T20:00:00+00:00,confirmed
AGIA YPOMONI,9500297,P18,2026-08-30T18:50:15.821945+00:00,2026-08-30T20:30:00+00:00,confirmed
SEIYO GODDESS,9581045,P06,2026-08-30T18:50:48.332582+00:00,2026-08-30T20:00:00+00:00,confirmed
NILIKHA,9726748,P16,2026-08-30T19:13:46.956245+00:00,2026-08-30T20:00:00+00:00,confirmed
PEARL LONGEVITY,1052531,P14,2026-08-30T19:13:52.988163+00:00,2026-08-30T20:00:00+00:00,confirmed
ARIETTA LILY,9727479,P11,2026-08-30T19:17:09.842455+00:00,2026-08-30T21:00:00+00:00,confirmed
GLOVIS CARDINAL,9419759,P02,2026-08-30T19:23:34.830611+00:00,2026-08-30T21:00:00+00:00,confirmed
PAOLO TOPIC,9726255,P10,2026-08-30T19:42:28.233391+00:00,2026-08-30T21:30:00+00:00,confirmed
ORKIM CHALLENGER,9564372,P16,2026-08-30T20:08:08.174680+00:00,2026-08-30T21:30:00+00:00,confirmed
T PROCYON,9569499,P15,2026-08-30T20:09:39.532259+00:00,2026-08-30T21:45:00+00:00,confirmed
YUAN SUI HAI,9806938,P07,2026-08-30T20:14:39.966660+00:00,2026-08-30T22:00:00+00:00,confirmed
GH UMEKO,9708576,P04,2026-08-30T20:18:08.309074+00:00,2026-08-30T22:00:00+00:00,confirmed
EVER ULYSSES,9196955,P13,2026-08-30T20:18:42.145118+00:00,2026-08-30T21:30:00+00:00,confirmed
MSC JERSEY,9622007,P18,2026-08-30T20:32:03.212296+00:00,2026-08-30T21:30:00+00:00,confirmed
BANGKOK CHEMI,9330410,P01,2026-08-30T20:54:51.237246+00:00,2026-08-30T22:00:00+00:00,confirmed
ANGEL NO 11,9486233,P14,2026-08-30T20:55:16.952414+00:00,2026-08-30T22:00:00+00:00,confirmed
MAPLE,9985318,P17,2026-08-30T20:55:26.623056+00:00,2026-08-30T22:00:00+00:00,confirmed
NORTHERN MONUMENT,9252577,P06,2026-08-30T21:08:09.190603+00:00,2026-08-30T22:45:00+00:00,confirmed
PIS RINJANI,9792864,P08,2026-08-30T21:10:06.936172+00:00,2026-08-30T23:00:00+00:00,confirmed
ORKIM FORTUNE,9524657,P09,2026-08-30T21:17:04.448610+00:00,2026-08-30T22:00:00+00:00,confirmed
GREAT QIN,9526667,P02,2026-08-30T21:21:40.966865+00:00,2026-08-30T22:22:00+00:00,confirmed
GREAT WALRUS,9450179,P03,2026-08-30T21:23:57.659944+00:00,2026-08-30T22:22:00+00:00,confirmed
PACIFIC FORTUNE,9388912,P12,2026-08-30T21:24:53.153180+00:00,2026-08-30T22:22:00+00:00,confirmed
PM REGALIA,9307786,P11,2026-08-30T21:26:54.636261+00:00,2026-08-30T22:15:00+00:00,confirmed
SUPER HERO,9341330,P18,2026-08-30T21:32:37.079255+00:00,2026-08-30T23:30:00+00:00,confirmed
DELAPAN SEMBILAN 89,9574767,P05,2026-08-30T21:32:37.208032+00:00,2026-08-30T22:06:00+00:00,confirmed
LAGOM,9939606,P16,2026-08-30T21:34:55.365588+00:00,2026-08-30T22:22:00+00:00,confirmed
MAO GANG GUANG ZHOU,9981348,P10,2026-08-30T21:44:46.671204+00:00,2026-08-30T22:30:00+00:00,confirmed
PARTNERSHIP,9597848,P13,2026-08-30T21:46:47.573841+00:00,2026-08-30T23:00:00+00:00,confirmed
NICOLEMY,9613094,P15,2026-08-30T21:52:11.330070+00:00,2026-08-30T22:30:00+00:00,confirmed
