vessel_name,imo_number,tug_id,start_time,end_time,status
NORTHERN GUARD,9348455,T04,2026-08-30T03:30:00+00:00,2026-08-30T04:21:41.241325+00:00,confirmed
MEHUIN,9400100,T10,2026-08-30T04:45:00+00:00,2026-08-30T05:18:13.048817+00:00,confirmed
BINA MARINE 78,0,T13,2026-08-30T06:28:00+00:00,2026-08-30T06:58:51.593904+00:00,confirmed
GASCHEM WERRA,9560170,T03,2026-08-30T11:11:00+00:00,2026-08-30T12:02:21.155016+00:00,confirmed
ORKIM DIAMOND,9900253,T11,2026-08-30T11:11:00+00:00,2026-08-30T11:52:52.089443+00:00,confirmed
SHOSHUN,9773155,T08,2026-08-30T11:11:00+00:00,2026-08-30T12:05:57.298739+00:00,confirmed
FRONT TANA,9933640,T13,2026-08-30T11:11:00+00:00,2026-08-30T11:46:02.542225+00:00,confirmed
MAJU DAYA 19,9571856,T13,2026-08-30T12:45:00+00:00,2026-08-30T13:41:53.388026+00:00,confirmed
MARCOPOLO 910,0,T11,2026-08-30T12:45:00+00:00,2026-08-30T13:30:19.782524+00:00,confirmed
PACIFIC WISE,1096197,T01,2026-08-30T13:54:00+00:00,2026-08-30T14:45:02.809723+00:00,confirmed
MARAN GAS KASTELORIZO,9956408,T06,2026-08-30T14:00:00+00:00,2026-08-30T14:32:35.748872+00:00,confirmed
KESHKAY 2,0,T05,2026-08-30T14:07:00+00:00,2026-08-30T14:44:25.211599+00:00,confirmed
ASEAN RAIDER II,9149639,T13,2026-08-30T14:34:00+00:00,2026-08-30T15:05:19.728992+00:00,confirmed
SEAGULL,9828235,T09,2026-08-30T15:00:00+00:00,2026-08-30T15:49:00.614432+00:00,confirmed
NORA SCHULTE,9966300,T03,2026-08-30T15:00:00+00:00,2026-08-30T15:59:02.743024+00:00,confirmed
ARA ONE,0,T01,2026-08-30T15:00:02+00:00,2026-08-30T15:55:43.478751+00:00,confirmed
SG GENEROUS,9999966,T04,2026-08-30T15:08:00+00:00,2026-08-30T15:40:31.645785+00:00,confirmed
HORIZON 8,9732125,T12,2026-08-30T15:21:00+00:00,2026-08-30T16:20:07.175093+00:00,confirmed
MAJESTIC ETERNITY,1114640,T07,2026-08-30T15:21:00+00:00,2026-08-30T16:11:21.615963+00:00,confirmed
MAJESTIC SERENITY,1119418,T10,2026-08-30T15:24:00+00:00,2026-08-30T16:08:14.611874+00:00,confirmed
KOTA GAYA,9616802,T02,2026-08-30T15:30:00+00:00,2026-08-30T16:09:49.630226+00:00,confirmed
ARMONIA GR,9758868,T14,2026-08-30T15:30:00+00:00,2026-08-30T16:13:52.462804+00:00,confirmed
SEA RAIDER II,8623858,T11,2026-08-30T15:32:00+00:00,2026-08-30T16:14:35.096672+00:00,confirmed
QUEEN STAR 6,9797113,T06,2026-08-30T15:36:00+00:00,2026-08-30T16:29:17.853188+00:00,confirmed
BATAMFAST 19,9103946,T13,2026-08-30T15:40:00+00:00,2026-08-30T16:34:09.591478+00:00,confirmed
RAFFLES SAMURAI,9352250,T03,2026-08-30T16:00:00+00:00,2026-08-30T16:41:00.530670+00:00,confirmed
FLAG THENIA,9605487,T09,2026-08-30T16:00:00+00:00,2026-08-30T16:49:20.243830+00:00,confirmed
MTT LUMUT,9988499,T05,2026-08-30T16:00:00+00:00,2026-08-30T16:40:01.956937+00:00,confirmed
COSCO SAO PAULO,9484388,T14,2026-08-30T16:30:00+00:00,2026-08-30T17:19:03.543988+00:00,confirmed
FPMC 30,9581679,T07,2026-08-30T16:45:00+00:00,2026-08-30T17:26:52.107739+00:00,confirmed
XIN HAI,9406477,T03,2026-08-30T17:00:00+00:00,2026-08-30T17:30:07.040621+00:00,confirmed
NEW SUCCESS,9434632,T11,2026-08-30T17:00:00+00:00,2026-08-30T17:31:06.892413+00:00,confirmed
SEVILLIA,9362712,T06,2026-08-30T17:00:00+00:00,2026-08-30T17:51:32.331196+00:00,confirmed
MAJU DAYA 67,9770529,T08,2026-08-30T17:00:00+00:00,2026-08-30T17:49:25.554693+00:00,confirmed
ZHONG GU GUI YANG,9933872,T12,2026-08-30T17:00:00+00:00,2026-08-30T17:30:26.128483+00:00,confirmed
VISION 208,5630842,T13,2026-08-30T17:00:00+00:00,2026-08-30T17:35:17.301655+00:00,confirmed
RIKKA,1105792,T04,2026-08-30T17:00:00+00:00,2026-08-30T17:46:49.145890+00:00,confirmed
OASIS,1079199,T05,2026-08-30T17:00:00+00:00,2026-08-30T17:56:20.702005+00:00,confirmed
SPIL NINGSIH,9273959,T10,2026-08-30T17:30:00+00:00,2026-08-30T18:21:30.548545+00:00,confirmed
MINERVA KALYPSO,9785225,T01,2026-08-30T17:30:00+00:00,2026-08-30T18:02:51.726040+00:00,confirmed
STOLT VIRTUE,9274317,T07,2026-08-30T17:45:00+00:00,2026-08-30T18:22:24.894053+00:00,confirmed
