vessel_name,imo_number,berth_id,start_time,end_time,status
SSI PHOENIX,9969182,B71,2026-08-29T00:45:00+00:00,2026-08-29T12:10:48.139885+00:00,confirmed
POLYWORLD,9626584,B117,2026-08-29T01:00:00+00:00,2026-08-29T12:47:35.877377+00:00,confirmed
CMA CGM ORFEO,9364992,B30,2026-08-29T01:00:00+00:00,2026-08-29T12:07:34.644780+00:00,confirmed
SEA ICON,9806615,B60,2026-08-29T01:00:00+00:00,2026-08-29T05:31:53.361028+00:00,confirmed
NUSANTARA 15,1121239,B73,2026-08-29T01:00:00+00:00,2026-08-29T08:38:11.859010+00:00,confirmed
SUMBER JAYA XV,6681165,B14,2026-08-29T01:00:00+00:00,2026-08-29T08:56:55.339471+00:00,confirmed
JIN HAI CHENG,1039723,B53,2026-08-29T01:00:00+00:00,2026-08-29T06:58:44.363632+00:00,confirmed
MITAKE,9607863,B116,2026-08-29T01:10:00+00:00,2026-08-29T10:27:03.488527+00:00,confirmed
JOLLY ROVER,0,B31,2026-08-29T01:30:00+00:00,2026-08-29T05:33:40.043789+00:00,confirmed
ATN VICTORY,9320300,B89,2026-08-29T01:30:00+00:00,2026-08-29T11:46:05.510432+00:00,confirmed
ANBIEN BAY,9444950,B32,2026-08-29T01:30:00+00:00,2026-08-29T09:09:37.043034+00:00,confirmed
ATLANTIC GOLD,9889136,B57,2026-08-29T01:30:00+00:00,2026-08-29T09:16:09.523500+00:00,confirmed
SEASURFER,9763033,B76,2026-08-29T02:00:00+00:00,2026-08-29T06:40:19.723606+00:00,confirmed
CETUS HUMPBACK,9670731,B114,2026-08-29T02:00:00+00:00,2026-08-29T13:20:47.690985+00:00,confirmed
MONICA,9971006,B130,2026-08-29T02:00:00+00:00,2026-08-29T07:21:46.008126+00:00,confirmed
POLLISUM 1803,0,B123,2026-08-29T02:00:14+00:00,2026-08-29T08:02:23.147711+00:00,confirmed
PROFIT BRILLIANCE,9677363,B66,2026-08-29T02:00:29+00:00,2026-08-29T11:40:38.264003+00:00,confirmed
GRAND LEGACY,9355240,B54,2026-08-29T02:30:00+00:00,2026-08-29T09:54:28.854763+00:00,confirmed
HIERA M,1081764,B94,2026-08-29T02:30:00+00:00,2026-08-29T09:59:11.612599+00:00,confirmed
HAFNIA PANTHER,9694464,B115,2026-08-29T03:00:00+00:00,2026-08-29T13:20:46.533516+00:00,confirmed
PIS BANGKA,1050935,B106,2026-08-29T03:45:00+00:00,2026-08-29T10:36:24.703453+00:00,confirmed
WTR OCEAN 88,9712400,B61,2026-08-29T03:52:00+00:00,2026-08-29T08:11:38.752182+00:00,confirmed
NAVIOS CHRYSALIS,9345960,B05,2026-08-29T04:00:00+00:00,2026-08-29T10:27:25.468151+00:00,confirmed
FALCON COURAGE,9522659,B55,2026-08-29T04:00:00+00:00,2026-08-29T14:03:49.083360+00:00,confirmed
CAPRICORN 80,9637052,B109,2026-08-29T04:00:00+00:00,2026-08-29T09:26:10.089011+00:00,confirmed
HAFNIA MYNA,9708083,B84,2026-08-29T04:00:00+00:00,2026-08-29T10:44:06.223877+00:00,confirmed
CAPRICORN 59,5256017,B38,2026-08-29T04:00:00+00:00,2026-08-29T12:03:09.364003+00:00,confirmed
BBC KHERSON,9812016,B131,2026-08-29T04:00:00+00:00,2026-08-29T14:34:42.943451+00:00,confirmed
MARLA ROYALTY,9985796,B121,2026-08-29T04:00:00+00:00,2026-08-29T13:28:14.722358+00:00,confirmed
