vessel_name,imo_number,tug_id,start_time,end_time,status
SSI PHOENIX,9969182,T01,2026-08-29T00:45:00+00:00,2026-08-29T01:32:32.795677+00:00,confirmed
POLYWORLD,9626584,T29,2026-08-29T01:00:00+00:00,2026-08-29T01:59:46.278518+00:00,confirmed
CMA CGM ORFEO,9364992,T15,2026-08-29T01:00:00+00:00,2026-08-29T01:47:03.953953+00:00,confirmed
SEA ICON,9806615,T22,2026-08-29T01:00:00+00:00,2026-08-29T01:56:07.665194+00:00,confirmed
NUSANTARA 15,1121239,T24,2026-08-29T01:00:00+00:00,2026-08-29T01:57:27.532732+00:00,confirmed
SUMBER JAYA XV,6681165,T21,2026-08-29T01:00:00+00:00,2026-08-29T01:32:13.552413+00:00,confirmed
JIN HAI CHENG,1039723,T16,2026-08-29T01:00:00+00:00,2026-08-29T01:40:48.014874+00:00,confirmed
MITAKE,9607863,T04,2026-08-29T01:10:00+00:00,2026-08-29T01:48:15.020321+00:00,confirmed
JOLLY ROVER,0,T18,2026-08-29T01:30:00+00:00,2026-08-29T02:08:36.951783+00:00,confirmed
ATN VICTORY,9320300,T09,2026-08-29T01:30:00+00:00,2026-08-29T02:17:03.474915+00:00,confirmed
ANBIEN BAY,9444950,T08,2026-08-29T01:30:00+00:00,2026-08-29T02:25:44.613278+00:00,confirmed
ATLANTIC GOLD,9889136,T17,2026-08-29T01:30:00+00:00,2026-08-29T02:05:02.147474+00:00,confirmed
SEASURFER,9763033,T16,2026-08-29T02:00:00+00:00,2026-08-29T02:47:37.590821+00:00,confirmed
CETUS HUMPBACK,9670731,T10,2026-08-29T02:00:00+00:00,2026-08-29T02:30:42.037323+00:00,confirmed
MONICA,9971006,T21,2026-08-29T02:00:00+00:00,2026-08-29T02:32:27.248962+00:00,confirmed
POLLISUM 1803,0,T32,2026-08-29T02:00:14+00:00,2026-08-29T02:47:36.484079+00:00,confirmed
PROFIT BRILLIANCE,9677363,T34,2026-08-29T02:00:29+00:00,2026-08-29T02:54:21.456562+00:00,confirmed
